,Product Name,Brand,Price ($AUD),Savings!
0,Lonsdale Men's Waterloo Core Hoodie - Charcoal Marle,Lonsdale,33.99,-
1,Champion Men's Script Cuff Track Pants - Black,Champion,49.99,$15
2,Lonsdale Men's Lawson Core Trackpants / Tracksuit Pants - Charcoal Marle,Lonsdale,34.99,-
3,Lonsdale Men's Belmont Panelled Hoodie - Navy,Lonsdale,44.99,-
4,Champion Men's Script Hoodie - Black,Champion,59.99,-
5,Champion Men's Script Jersey Shorts - Oxford Heather,Champion,24.99,$10
6,Lonsdale Women's Midhurst Hoodie - Grey Marle,Lonsdale,36.99,-
7,Lonsdale Men's Glaston Core Hoodie - Black,Lonsdale,33.99,-
8,Lonsdale Men's Bethnal Reverse Panel Trackpants / Tracksuit Pants - Eucalyptus,Lonsdale,34.99,-
9,Lonsdale Women's Tilbury Hoodie - Choc Berry,Lonsdale,36.99,-
10,Lonsdale Men's Waterloo Core Hoodie - Khaki,Lonsdale,33.99,-
11,Champion Men's Script Hoodie - White,Champion,59.99,$15
12,Lonsdale Men's Hempstead Core Tee / T-Shirt / Tshirt - Lake,Lonsdale,16.99,-
13,Champion Men's Script Crew Sweatshirt - Granite Heather,Champion,45.0,$19
14,Champion Women's French Terry Script Trackpants / Tracksuit Pants - Black,Champion,44.95,$15
15,Lonsdale Men's Handover Core Shorts - Black,Lonsdale,23.99,-
16,Champion Women's High-Waisted Joggers - Black,Champion,49.99,$15
17,Champion Men's Script Short Sleeve Tee / T-Shirt / Tshirt - Navy,Champion,24.99,$10
18,Champion Men's Script Jersey Shorts - Black,Champion,24.99,$10
19,Champion Men's Script Crew Sweatshirt - Oxford Heather,Champion,44.99,$20
20,Champion Men's Script Long Sleeve Tee - Black,Champion,24.99,$15
21,Lonsdale Men's Handover Core Shorts - Khaki,Lonsdale,23.99,-
22,Lonsdale Men's Tate Core Crew Sweatshirt - Tobacco,Lonsdale,29.99,-
23,Lonsdale Women's Bernet Sherpa Popover Jumper - Dark Olive,Lonsdale,44.99,-
24,Champion Women's VF Script Hoodie - Red,Champion,54.99,-
25,Champion Men's Script Cuff Track Pants / Tracksuit Pants - Granite Heather,Champion,45.0,-
26,Lonsdale Men's Burnley Core Tee / T-Shirt / Tshirt - Grey Marle,Lonsdale,16.99,-
