,Products,Price Was,Price Now
0,800W Juicer Dark Grey NBJ07100,$179.00,Empty
1,The Barista Express Coffee Machine Stainless Steel BES870BSS,Empty,$749.00
2,50's Style Kettle Black KLF03BLAU,$269.00,Empty
3,Turbopro Airglide Iron Gold/White FV5646,Empty,$179.00
4,by Delonghi Lattissima Black/Silver Touch Capsule Coffee Machine EN560B,$579.00,$399.00
5,The AirRounder Plus Connect Heating & Cooling Purifier White LPH708WHT,$599.00,$349.00
6,Brooklyn 4 Slice Toaster Black RHT94BLK,$109.00,$92.00
7,Mini Barista Coffee Machine Black EM4300K,$329.00,$279.00
8,Red 3.5 Cup Mini Chopper 5KFC3516AER,$169.00,$139.00
9,HD07 Supersonic Iron/Fuschia Hair Dryer,$599.00,Empty
10,by Delonghi inissia & Milk Capsule Coffee Maker Black EN80BAE,Empty,$229.00
11,12 Litre Air Fryer Multifunctional LCD One Touch Display Silver,$149.95,$134.96
12,50's Style Kettle Cream KLF03CRAU,$269.00,Empty
13,V7 Motorhead Handstick Vacuum Red 278176 01,$599.00,Empty
14,Brooklyn Glass/Copper Kettle RHK172,$109.00,Empty
15,Handheld Vacuum Cleaner Cordless Stick Handstick Vac Bagless 2-Speed Headlight Red,$104.95,Empty
16,Verve 57 Platinum Iron White/Purple SR6575,$149.00,Empty
17,Premium XXL Airfryer Black HD9861/99,$629.00,Empty
18,Silver 3.5 Cup Mini Chopper 5KFC3515ACU,$169.00,$139.00
19,Shaver 3000 Wet and Dry Electric Shaver Black S3122/51,$99.00,$79.20
20,Butler Turbo Garment Steamer White SG3000,$199.00,Empty
21,Icona Capitals Rome 4 Slice Toaster Orange CTOC4003O,$169.00,$119.00
22,Big Fill Toastie For 4 Sandwich Press Silver GR6450,$89.95,Empty
23,Kleenmaid Best Heavy Duty 12kg Top Load Washing Machine,$2099.00,$1699.00
24,24 Litre Air Fryer Multifunctional LCD Digital Display Silver,$179.95,$161.96
25,Robotic Vacuum Cleaner Mop App Control Dry & Wet Auto Robot WI-FI GMAX,$349.95,$244.96
26,Mini Kettle 50's Style White KLF05WHAU,$199.00,Empty
27,The Smart Temp 6L Slow Cooker Stainless Steel BSC420SS,$149.00,Empty
28,Hair Blowdry Brush Pink 3027,$99.00,Empty
29,Grain Master Rice Cooker White HD4514/72,$159.00,Empty
30,Coffee Machine Water Filters White BWF100 6 Pack,$39.95,Empty
31,2 1 Cleaner & Descaler,$19.95,Empty
32,Compact Cafe Press Stainless Steel Sandwich Maker GR8250B,$99.95,Empty
33,Brooklyn Black/Copper Kettle RHK92COP,$109.00,$92.00
34,Special Gift Edition Corrale Black/Fuschia Hair Straightener With Styling Set 371679-01,$699.00,Empty
35,Easy Fry & Grill Deluxe Air Fryer Black/Silver EY505D,$349.00,$249.00
36,The Smart Rice Box White LRC480WHT,$189.00,$179.00
37,Icona Capitals Sydney 4 Slice Toaster White CTOC4003W,$199.00,$169.00
38,Auto-IQ Blender Black/Grey BL480NZ,$199.00,$149.00
39,Easy Fry Classic Black Air Fryer EY2018,$219.00,$159.00
40,Bread Maker Stainless Steel SD-YR2550SST,$399.00,Empty
41,Smart Robotic Vacuum Cleaner App Controlled Carpet Floors Auto Robot,$199.95,$149.96
42,Proluxe Salon Hair Straightener Black/Rose Gold S9100AU,$149.00,$119.20
43,Blue Intelligent Hot Air Brush with Digital Sensor VSP500A,$99.00,$79.20
44,The Wave Kit Hair Styler Pink SKU6000,$115.00,$79.00
45,V12 Detect Slim Total Clean Stick Vacuum 368697-01,$1299.00,Empty
46,by De'longhi Gran Lattissima Capsule Coffee Machine Black EN650B,$789.00,$599.00
47,The Bakery Chef Hub Mixer Black LEM750BTR,$529.00,$479.00
